model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
gru,acc_gyro,39042,0.0024681539071025327,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/gru_acc_gyro/best.pt,73,128,64,random,0.9975609756097561,0.986373191747472,0.9868421052631579,0.9615384615384616,0.974025974025974,0.09919529992167088,7650,1639,1640,0.9981696156192801,0.9898422732484273,0.9743589743589743,0.987012987012987,0.9806451612903225,0.057610966218464975
tcn,acc,220610,0.0057552918951842,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/tcn_acc/best.pt,73,128,64,random,0.9981707317073171,0.9898425806451613,0.987012987012987,0.9743589743589743,0.9806451612903225,0.07494760083216356,7650,1639,1640,0.9987797437461867,0.9931863910737151,0.987012987012987,0.987012987012987,0.987012987012987,0.05534125149450046
tcn,gyro,220610,0.005757889375672676,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/tcn_gyro/best.pt,73,128,64,random,0.999390243902439,0.9966141935483871,1.0,0.9871794871794872,0.9935483870967742,0.048122194490009325,7650,1639,1640,0.9981696156192801,0.9897160784313725,0.9868421052631579,0.974025974025974,0.9803921568627451,0.042610279827641775
tcn,acc_gyro,221378,0.005825702064612415,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/tcn_acc_gyro/best.pt,73,128,64,random,0.9981707317073171,0.9899655524758775,0.9746835443037974,0.9871794871794872,0.9808917197452229,0.05109048807402936,7650,1639,1640,0.9987797437461867,0.9931863910737151,0.987012987012987,0.987012987012987,0.987012987012987,0.01223291730811641
transformer,acc,83842,0.003749500319827348,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/transformer_acc/best.pt,73,128,64,random,0.9975609756097561,0.986373191747472,0.9868421052631579,0.9615384615384616,0.974025974025974,0.08074306829310045,7650,1639,1640,0.9957291031116534,0.976004183006536,0.9605263157894737,0.948051948051948,0.954248366013072,0.11978111228359553
transformer,gyro,83842,0.00374298124370398,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/transformer_gyro/best.pt,73,128,64,random,0.9908536585365854,0.9510115322039434,0.8795180722891566,0.9358974358974359,0.906832298136646,0.15915996256716003,7650,1639,1640,0.9957291031116534,0.9771379950063467,0.9166666666666666,1.0,0.9565217391304348,0.021796933278132313
transformer,acc_gyro,84034,0.0039005896906019184,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/transformer_acc_gyro/best.pt,73,128,64,random,0.9969512195121951,0.9832759207931292,0.9620253164556962,0.9743589743589743,0.9681528662420382,0.08664717465900339,7650,1639,1640,0.9987797437461867,0.9931863910737151,0.987012987012987,0.987012987012987,0.987012987012987,0.0639462278300102
mamba3,acc,239378,0.010907476862485055,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/mamba3_acc/best.pt,73,128,64,random,0.9957317073170732,0.9757026238203179,0.9863013698630136,0.9230769230769231,0.9536423841059603,0.23374657716556657,7650,1639,1640,0.9957291031116534,0.976004183006536,0.9605263157894737,0.948051948051948,0.954248366013072,0.13552384945182408
mamba3,gyro,239378,0.010924162961600814,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/mamba3_gyro/best.pt,73,128,64,random,0.9975609756097561,0.986701157161508,0.9625,0.9871794871794872,0.9746835443037974,0.07204014809501198,7650,1639,1640,0.9945088468578401,0.9706059935795885,0.9047619047619048,0.987012987012987,0.9440993788819876,0.0447222379856198
mamba3,acc_gyro,239762,0.011021360332961194,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed73/mamba3_acc_gyro/best.pt,73,128,64,random,0.9963414634146341,0.980051735742262,0.95,0.9743589743589743,0.9620253164556962,0.11753124975238745,7650,1639,1640,0.9975594874923734,0.9865388721890964,0.9620253164556962,0.987012987012987,0.9743589743589743,0.09071387940864468
